url_path,views_total,views_unique
/peff74/ACS712_ESP8266,82,36
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,12,10
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,5,5
/peff74/ACS712_ESP8266/blob/github-repo-stats/peff74/ACS712_ESP8266/latest-report/report.pdf,5,1
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,4,3
/peff74/ACS712_ESP8266/blob/main/README.md,3,2
/peff74/ACS712_ESP8266/tree/main/.github/workflows,3,2
/peff74/ACS712_ESP8266/tree/github-repo-stats/peff74/ACS712_ESP8266/latest-report,3,1
/peff74/ACS712_ESP8266/tree/main,2,2
/peff74/ACS712_ESP8266/actions,2,1
