url_path,views_total,views_unique
/peff74/ACS712_ESP8266,26,21
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,15,8
/peff74/ACS712_ESP8266/blob/main/README.md,6,4
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,5,5
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,4,4
/peff74/ACS712_ESP8266/commit/852796a9b4e5a33675430bbd5433a3aa5532929a,2,2
/peff74/ACS712_ESP8266/commit/3ecc5760ebed104da9b045398d217be4e216b30d,1,1
/peff74/ACS712_ESP8266/tree/main,1,1
/peff74/ACS712_ESP8266/tree/main/.github/workflows,1,1
