time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-15 00:00:00+00:00,6,4,2,2
2026-03-16 00:00:00+00:00,11,5,2,2
2026-03-17 00:00:00+00:00,8,4,9,2
2026-03-18 00:00:00+00:00,8,4,3,3
2026-03-19 00:00:00+00:00,15,5,10,3
2026-03-20 00:00:00+00:00,17,5,7,4
2026-03-21 00:00:00+00:00,15,7,2,2
2026-03-22 00:00:00+00:00,6,2,5,2
2026-03-23 00:00:00+00:00,18,8,0,0
2026-03-24 00:00:00+00:00,8,4,4,4
2026-03-25 00:00:00+00:00,5,3,5,3
2026-03-26 00:00:00+00:00,13,7,5,2
2026-03-27 00:00:00+00:00,13,7,3,3
2026-03-28 00:00:00+00:00,22,12,2,2
