url_path,views_total,views_unique
/peff74/ACS712_ESP8266,92,55
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,38,19
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,17,11
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,11,5
/peff74/ACS712_ESP8266/blob/main/README.md,3,3
/peff74/ACS712_ESP8266/tree/main,3,3
/peff74/ACS712_ESP8266/blob/main/.github/workflows/github-repo-stats.yml,3,2
/peff74/ACS712_ESP8266/tree/main/.github/workflows,3,2
/peff74/ACS712_ESP8266/tree/main/.github,2,2
/peff74/ACS712_ESP8266/actions,1,1
