url_path,views_total,views_unique
/peff74/ACS712_ESP8266,34,24
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,33,14
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,18,13
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,13,7
/peff74/ACS712_ESP8266/blob/main/README.md,12,8
/peff74/ACS712_ESP8266/tree/main,2,2
/peff74/ACS712_ESP8266/blob/main/.gitattributes,1,1
/peff74/ACS712_ESP8266/commit/3ecc5760ebed104da9b045398d217be4e216b30d,1,1
/peff74/ACS712_ESP8266/commit/852796a9b4e5a33675430bbd5433a3aa5532929a,1,1
/peff74/ACS712_ESP8266/tree/main/.github,1,1
