url_path,views_total,views_unique
/peff74/ACS712_ESP8266,30,16
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,14,11
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,7,6
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,7,4
/peff74/ACS712_ESP8266/tree/main,5,5
/peff74/ACS712_ESP8266/blob/main/README.md,3,2
/peff74/ACS712_ESP8266/actions,2,1
/peff74/ACS712_ESP8266/actions/workflows/github-repo-stats.yml,2,1
/peff74/ACS712_ESP8266/blob/github-repo-stats/peff74/ACS712_ESP8266/latest-report/report.pdf,1,1
/peff74/ACS712_ESP8266/blob/main/.gitattributes,1,1
