time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-22 00:00:00+00:00,24,6,0,0
2026-06-23 00:00:00+00:00,57,15,0,0
2026-06-24 00:00:00+00:00,26,6,1,1
2026-06-25 00:00:00+00:00,21,6,0,0
2026-06-26 00:00:00+00:00,20,7,1,1
2026-06-27 00:00:00+00:00,12,5,0,0
2026-06-28 00:00:00+00:00,8,3,0,0
2026-06-29 00:00:00+00:00,11,6,0,0
2026-06-30 00:00:00+00:00,8,3,0,0
2026-07-01 00:00:00+00:00,3,3,0,0
2026-07-02 00:00:00+00:00,17,8,2,1
2026-07-03 00:00:00+00:00,14,4,3,2
2026-07-04 00:00:00+00:00,26,9,0,0
2026-07-05 00:00:00+00:00,15,5,0,0
