url_path,views_total,views_unique
/peff74/ACS712_ESP8266,83,42
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,18,13
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,10,7
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,7,3
/peff74/ACS712_ESP8266/tree/main/.github/workflows,5,2
/peff74/ACS712_ESP8266/blob/main/README.md,3,3
/peff74/ACS712_ESP8266/tree/main,3,3
/peff74/ACS712_ESP8266/blob/main/peff74/ACS712_ESP8266/latest-report/report.pdf,3,1
/peff74/ACS712_ESP8266/blob/github-repo-stats/peff74/ACS712_ESP8266/latest-report/report_for_pdf.html,2,1
/peff74/ACS712_ESP8266/tree/github-repo-stats/.github/workflows,2,1
