url_path,views_total,views_unique
/peff74/ACS712_ESP8266,49,39
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,31,19
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,15,13
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,11,8
/peff74/ACS712_ESP8266/tree/main/.github/workflows,5,5
/peff74/ACS712_ESP8266/tree/main,5,3
/peff74/ACS712_ESP8266/blob/main/.github/workflows/github-repo-stats.yml,4,4
/peff74/ACS712_ESP8266/blob/main/README.md,4,4
/peff74/ACS712_ESP8266/blame/main/8266_ACS712.ino,3,1
/peff74/ACS712_ESP8266/blob/main/.gitattributes,2,2
