url_path,views_total,views_unique
/peff74/ACS712_ESP8266,51,39
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,26,16
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,12,9
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,8,6
/peff74/ACS712_ESP8266/tree/main/.github/workflows,3,3
/peff74/ACS712_ESP8266/tree/main,3,2
/peff74/ACS712_ESP8266/tree/main/.github,2,2
/peff74/ACS712_ESP8266/blob/main/.gitattributes,1,1
/peff74/ACS712_ESP8266/blob/main/.github/workflows/github-repo-stats.yml,1,1
/peff74/ACS712_ESP8266/blob/main/README.md,1,1
