time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-01 00:00:00+00:00,1,1,,
2025-11-02 00:00:00+00:00,7,2,,
2025-11-03 00:00:00+00:00,13,3,4.0,3.0
2025-11-04 00:00:00+00:00,12,4,18.0,4.0
2025-11-05 00:00:00+00:00,11,4,5.0,2.0
2025-11-06 00:00:00+00:00,7,4,3.0,2.0
2025-11-07 00:00:00+00:00,9,4,4.0,1.0
2025-11-08 00:00:00+00:00,10,4,,
2025-11-09 00:00:00+00:00,3,2,1.0,1.0
2025-11-10 00:00:00+00:00,6,5,,
2025-11-11 00:00:00+00:00,5,4,4.0,2.0
2025-11-12 00:00:00+00:00,3,3,4.0,3.0
2025-11-13 00:00:00+00:00,6,5,,
2025-11-14 00:00:00+00:00,13,3,1.0,1.0
