url_path,views_total,views_unique
/peff74/ACS712_ESP8266,39,23
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,18,7
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,12,6
/peff74/ACS712_ESP8266/blob/main/.github/workflows/github-repo-stats.yml,7,1
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,6,2
/peff74/ACS712_ESP8266/tree/main/.github/workflows,6,1
/peff74/ACS712_ESP8266/blob/main/.gitattributes,5,2
/peff74/ACS712_ESP8266/tree/main/.github,5,1
/peff74/ACS712_ESP8266/blob/main/README.md,4,2
/peff74/ACS712_ESP8266/blob/github-repo-stats/peff74/ACS712_ESP8266/latest-report/report.pdf,2,1
