time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-04 00:00:00+00:00,8,4,14,2
2025-12-05 00:00:00+00:00,13,9,3,3
2025-12-06 00:00:00+00:00,7,3,1,1
2025-12-07 00:00:00+00:00,8,4,8,3
2025-12-08 00:00:00+00:00,3,3,9,1
2025-12-09 00:00:00+00:00,7,3,3,2
2025-12-10 00:00:00+00:00,7,3,4,4
2025-12-11 00:00:00+00:00,15,7,6,3
2025-12-12 00:00:00+00:00,7,3,8,1
2025-12-13 00:00:00+00:00,7,3,7,4
2025-12-14 00:00:00+00:00,7,3,2,1
2025-12-15 00:00:00+00:00,2,2,1,1
2025-12-16 00:00:00+00:00,8,4,3,2
2025-12-17 00:00:00+00:00,2,2,2,1
