url_path,views_total,views_unique
/peff74/ACS712_ESP8266,25,21
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,21,11
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,7,7
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,7,5
/peff74/ACS712_ESP8266/blob/main/README.md,3,3
/peff74/ACS712_ESP8266/blob/main/.gitattributes,1,1
/peff74/ACS712_ESP8266/blob/main/.github/workflows/github-repo-stats.yml,1,1
/peff74/ACS712_ESP8266/commit/852796a9b4e5a33675430bbd5433a3aa5532929a,1,1
/peff74/ACS712_ESP8266/tree/main/.github/workflows,1,1
