url_path,views_total,views_unique
/peff74/ACS712_ESP8266,29,24
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,13,10
/peff74/ACS712_ESP8266/blob/main/README.md,9,6
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,7,6
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,5,2
/peff74/ACS712_ESP8266/tree/main/.github/workflows,4,3
/peff74/ACS712_ESP8266/blob/main/.gitattributes,3,3
/peff74/ACS712_ESP8266/tree/main,2,2
/peff74/ACS712_ESP8266/blob/main/.github/workflows/github-repo-stats.yml,1,1
/peff74/ACS712_ESP8266/branches,1,1
