time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-15 00:00:00+00:00,15,7,2,1
2026-01-16 00:00:00+00:00,7,3,5,1
2026-01-17 00:00:00+00:00,13,5,0,0
2026-01-18 00:00:00+00:00,10,6,1,1
2026-01-19 00:00:00+00:00,15,6,6,4
2026-01-20 00:00:00+00:00,5,3,2,2
2026-01-21 00:00:00+00:00,16,6,1,1
2026-01-22 00:00:00+00:00,19,8,0,0
2026-01-23 00:00:00+00:00,10,6,0,0
2026-01-24 00:00:00+00:00,12,5,3,3
2026-01-25 00:00:00+00:00,11,5,2,2
2026-01-26 00:00:00+00:00,15,9,0,0
2026-01-27 00:00:00+00:00,13,7,0,0
2026-01-28 00:00:00+00:00,11,5,14,4
