url_path,views_total,views_unique
/peff74/ACS712_ESP8266,40,25
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,10,6
/peff74/ACS712_ESP8266/blob/main/README.md,3,2
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,2,2
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,2,2
/peff74/ACS712_ESP8266/tree/main/.github/workflows,2,2
/peff74/ACS712_ESP8266/actions,1,1
/peff74/ACS712_ESP8266/blob/main/.gitattributes,1,1
/peff74/ACS712_ESP8266/commit/852796a9b4e5a33675430bbd5433a3aa5532929a,1,1
/peff74/ACS712_ESP8266/tree/main,1,1
