time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-31 00:00:00+00:00,1.0,1.0,11,8
2024-11-01 00:00:00+00:00,,,11,5
2024-11-02 00:00:00+00:00,1.0,1.0,6,2
2024-11-03 00:00:00+00:00,1.0,1.0,2,2
2024-11-04 00:00:00+00:00,2.0,2.0,7,4
2024-11-05 00:00:00+00:00,,,9,3
2024-11-06 00:00:00+00:00,,,37,6
2024-11-07 00:00:00+00:00,,,59,14
2024-11-08 00:00:00+00:00,,,15,10
2024-11-09 00:00:00+00:00,,,9,3
2024-11-10 00:00:00+00:00,,,22,9
2024-11-11 00:00:00+00:00,,,19,8
2024-11-12 00:00:00+00:00,5.0,2.0,14,9
2024-11-13 00:00:00+00:00,,,10,7
