time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-02 00:00:00+00:00,2,2,0,0
2026-06-03 00:00:00+00:00,11,4,0,0
2026-06-04 00:00:00+00:00,16,5,0,0
2026-06-05 00:00:00+00:00,4,2,0,0
2026-06-06 00:00:00+00:00,20,9,2,1
2026-06-07 00:00:00+00:00,20,9,1,1
2026-06-08 00:00:00+00:00,13,6,5,1
2026-06-09 00:00:00+00:00,1,1,1,1
2026-06-10 00:00:00+00:00,19,10,0,0
2026-06-11 00:00:00+00:00,15,8,1,1
2026-06-12 00:00:00+00:00,19,7,5,2
2026-06-13 00:00:00+00:00,22,8,1,1
2026-06-14 00:00:00+00:00,18,6,0,0
2026-06-15 00:00:00+00:00,35,10,0,0
