time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-09 00:00:00+00:00,12,6,2,2
2026-02-10 00:00:00+00:00,14,8,3,3
2026-02-11 00:00:00+00:00,11,5,0,0
2026-02-12 00:00:00+00:00,6,4,10,2
2026-02-13 00:00:00+00:00,13,7,1,1
2026-02-14 00:00:00+00:00,12,6,7,3
2026-02-15 00:00:00+00:00,12,8,5,2
2026-02-16 00:00:00+00:00,15,9,6,3
2026-02-17 00:00:00+00:00,11,5,4,4
2026-02-18 00:00:00+00:00,16,6,1,1
2026-02-19 00:00:00+00:00,16,6,4,2
2026-02-20 00:00:00+00:00,4,2,2,2
2026-02-21 00:00:00+00:00,5,5,1,1
2026-02-22 00:00:00+00:00,13,7,2,1
